week,location,average_prize
07/01/2023,kolkata-173.61(181.21)Guwahati-148.45(154.38)148.45(154.38)Siliguri-Jalpaiguri-NS(NS)mjunction118.65(126.04)Cochin144.85(142.14)Coonoor113.18(97.19)Coimbatore-121.27(112.37),104.35(89.13)
26/12/2020,kolkata-192.39(159.24)Guwahati-161.05(134.74)161.05(134.74)Siliguri-Jalpaiguri-NS(NS)mjunction128.08Cochin170.80(119.12)Coonoor114.37(NS)Coimbatore-130.17(NS),99.16 (67.76)
19/12/2020,kolkata-188.48(163.07)Guwahati-157.83(139.32)157.83(139.32)Siliguri-Jalpaiguri-NS(NS)mjunctionNot AvailableCochin172.37(119.46)Coonoor112.17(82.34)Coimbatore-129.34(94.20),99.10(65.03)
12/12/2020,kolkata-189.03(162.89)Guwahati-166.13(NS)166.13(NS)Siliguri-Jalpaiguri-NS(NS)mjunction140.03Cochin173.52(119.78)Coonoor108.12(80.51)Coimbatore-136.73(92.13),98.32(66.11)
05/12/2020,kolkata-194.39(165.35)Guwahati-164.13(141.11)164.13(141.11)Siliguri-Jalpaiguri-NS(NS)mjunction111.00Cochin183.01(119.76)Coonoor109.25(79.04)Coimbatore-136.33(92.94),133.38(65.66)
28/11/2020,kolkata-199.99(166.80)Guwahati-169.10(138.78)169.10(138.78)Siliguri-Jalpaiguri-NS(NS)mjunction162.33Cochin193.31(119.25)Coonoor130.09(78.81)Coimbatore-157.49(94.90),128.13(67.62)
21/11/2020,kolkata-205.67(169.58)Guwahati-176.59(142.91)176.59(142.91)Siliguri-Jalpaiguri-NS(NS)mjunction161.82Cochin193.61(117.75)Coonoor141.71(79.97)Coimbatore-156.81(95.14),136.26(69.05)
14/11/2020,kolkata-222.00(163.94)Guwahati-186.64(145.15)186.64(145.15)Siliguri-Jalpaiguri-NS(NS)mjunction180.10Cochin192.82(118.50)CoonoorNS(79.39)Coimbatore-NS(93.03),137.67(68.85)
07/11/2020,kolkata-228.66(166.87)Guwahati-191.78(147.83)191.78(147.83)Siliguri-Jalpaiguri-NS(NS)mjunctionNSCochin192.09(117.68)Coonoor149.47(78.17)Coimbatore-157.63(95.75),136.57(68.44)
31/10/2020,kolkata-NS(175.49)Guwahati-205.16(144.75)205.16(144.75)Siliguri-Jalpaiguri-NS(NS)mjunction208.89Cochin185.42(118.85)Coonoor151.36(78.68)Coimbatore-158.41(NS),133.75(69.18)
24/10/2020,kolkata-242.12(175.30 )Guwahati-214.55(150.27)214.55(150.27)Siliguri-Jalpaiguri-NS(NS)mjunction205.78Cochin179.74(120.98)Coonoor150.11(80.70)Coimbatore-155.05(96.33),132.77(73.50)
17/10/2020,kolkata-251.78(170.26)Guwahati-227.08(150.78)227.08(150.78)Siliguri-Jalpaiguri-NS(NS)mjunction220.53Cochin177.34(121.17)Coonoor145.26(84.96)Coimbatore-154.23(95.51),121.42(72.40)
10/10/2020,kolkata-265.33(NS)Guwahati-239.35(NS)239.35(NS)Siliguri-Jalpaiguri-NS(NS)mjunction247.17Cochin172.84(121.72)Coonoor146.53(85.99)Coimbatore-153.69(94.98),133.94(73.55)
03/10/2020,kolkata-271.71(179.31)Guwahati-257.21(153.97)257.21(153.97)Siliguri-Jalpaiguri-NS(NS)mjunction254.80Cochin176.53(122.32)Coonoor156.28(87.44)Coimbatore-165.41(97.02),144.25(73.13)
26/09/2020,kolkata-277.78(174.34)Guwahati-264.36(150.62)264.36(150.62)Siliguri-Jalpaiguri-NS(NS)mjunction251.80Cochin190.93(119.38)Coonoor170.62(87.74)Coimbatore-178.70(94.32),165.36(72.72)
19/09/2020,kolkata-281.87(179.93)Guwahati-274.38(150.14)274.38(150.14)Siliguri-Jalpaiguri-NS(NS)mjunction229.86Cochin197.51(114.62)Coonoor185.15(86.31)Coimbatore-190.71(94.52),181.35(71.73)
12/09/2020,kolkata-NS(180.39)Guwahati-280.73(150.11)280.73(150.11)Siliguri-Jalpaiguri-NS(NS)mjunction263.75Cochin198.79(NS)Coonoor192.35(85.82)Coimbatore-191.25(90.76),179.85(69.73)
05/09/2020,kolkata-291.04(186.91)Guwahati-288.54(156.33)288.54(156.33)Siliguri-Jalpaiguri-NS(NS)mjunction275.17CochinNS(110.55)Coonoor193.21(83.81)Coimbatore-189.56(93.16),174.35(68.80)
29/08/2020,kolkata-300.10(181.49)Guwahati-297.03(155.92)297.03(155.92)Siliguri-Jalpaiguri-NS(NS)mjunction272.60Cochin181.00(112.03)Coonoor187.04(83.33)Coimbatore-175.86(90.09),160.63(68.20)
22/08/2020,kolkata-307.42(189.25)Guwahati-295.12(157.20)295.12(157.20)Siliguri-Jalpaiguri-NS(NS)mjunction235.64Cochin171.64(111.02)Coonoor172.62(83.11)Coimbatore-163.52(91.59),151.82(68.30)
15/08/2020,kolkata-308.75(193.24)Guwahati-296.85(157.18)296.85(157.18)Siliguri-Jalpaiguri-NS(NS)mjunction258.72Cochin159.25(112.01)Coonoor167.69(81.42)Coimbatore-157.62(91.35),143.75(68.70)
08/08/2020,kolkata-307.12(199.96)Guwahati-287.86(161.93)287.86(161.93)Siliguri-Jalpaiguri-NS(NS)mjunction259.00Cochin144.53(112.94)Coonoor150.07(80.78)Coimbatore-148.31(91.31),139.04(71.80)
01/08/2020,kolkata-295.89(200.75)Guwahati-278.31(161.43)278.31(161.43)Siliguri-Jalpaiguri-NS(NS)mjunction235.83Cochin138.11(113.10)Coonoor146.38(80.29)Coimbatore-142.92(92.00),129.19(73.56)
25/07/2020,kolkata-297.63(200.66)Guwahati-NS(164.66)NS(164.66)Siliguri-Jalpaiguri-NS(NS)mjunction244.98Cochin138.40(115.12)Coonoor141.19(80.40)Coimbatore-141.08(87.70),122.95(71.00)
18/07/2020,kolkata-301.04(200.78)Guwahati-283.53(162.09)283.53(162.09)Siliguri-Jalpaiguri-NS(NS)mjunction296.47Cochin134.47(112.40)Coonoor137.11(78.90)Coimbatore-135.28(89.94),111.41(69.40)
11/07/2020,kolkata-298.71(193.91)Guwahati-NS(158.33)NS(158.33)Siliguri-Jalpaiguri-NS(NS)mjunction249.28Cochin130.22(113.46)Coonoor128.26(79.10)Coimbatore-127.99(90.69),105.30(69.48)
04/07/2020,kolkata-298.54(203.14)Guwahati-273.53(158.98)273.53(158.98)Siliguri-Jalpaiguri-NS(NS)mjunction0.00Cochin122.26(116.48)Coonoor116.60(84.97)Coimbatore-115.79(97.99),97.17(73.59)
27/06/2020,kolkata-272.59(204.32)Guwahati-265.12(156.96)265.12(156.96)Siliguri-Jalpaiguri-NS(NS)mjunction247.19Cochin117.03(117.25)Coonoor113.55(87.32)Coimbatore-112.44(97.06),88.65(79.63)
20/06/2020,kolkata-275.63(204.49)Guwahati-253.01(163.02)253.01(163.02)Siliguri-Jalpaiguri-NS(NS)mjunction255.77Cochin112.90(120.55)Coonoor110.68(92.25)Coimbatore-108.24(99.11),87.90(81.34)
13/06/2020,kolkata-250.54(187.49)Guwahati-231.18(155.00)231.18(155.00)Siliguri-Jalpaiguri-NS(NS)mjunction252.47Cochin111.30(123.12)Coonoor107.01(93.00)Coimbatore-102.97(102.44),80.08(83.07)
06/06/2020,kolkata-235.11(180.12)Guwahati-216.35(147.98)216.35(147.98)Siliguri-Jalpaiguri-NS(NS)mjunction240.74Cochin109.20(126.83)Coonoor98.94(93.43)Coimbatore-104.14(105.51),78.37(84.63)
30/05/2020,kolkata-NS(178.76)Guwahati-198.29(139.17)198.29(139.17)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin110.04(128.23)Coonoor95.92(93.91)Coimbatore-103.84(109.84),75.30(86.60)
23/05/2020,"kolkata-NS(179.26)Guwahati-199.08(135.23)199.08(135.23)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin114,82(127.76)Coonoor93.93(95.32)Coimbatore-104.53(108.91)",74.57(87.72)
16/05/2020,kolkata-135.40(180.26)Guwahati-222.01(135.12)222.01(135.12)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin116.41(127.60)Coonoor94.21(97.50)Coimbatore-105.11(111.08),74.60(90.96)
09/05/2020,kolkata-NS(194.09)Guwahati-150.50(135.48)150.50(135.48)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin122.03(127.82)Coonoor94.84(99.19)Coimbatore-NS(109.24),77.05(89.81)
